Squadra,Giocatore,Ruolo,Valutazione
Atalanta,Ademola Lookman,COC,84
Atalanta,Marco Carnesecchi,POR,83
Atalanta,Charles De Ketelaere,COC,81
Atalanta,Éderson,CC,81
Atalanta,Marten de Roon,CC,80
Atalanta,Davide Zappacosta,ES,80
Atalanta,Mateo Retegui,ATT,80
Atalanta,Odilon Kossounou,DC,80
Atalanta,Berat Djimsiti,DC,79
Atalanta,Isak Hien,DC,78
Atalanta,Raoul Bellanova,ED,77
Atalanta,Sead Kolašinac,DC,80
Atalanta,Mario Pašalić,CC,80
Atalanta,Stefan Posch,TD,79
Atalanta,Rafael Tolói,DC,78
Atalanta,Juan Cuadrado,ED,78
Atalanta,Giorgio Scalvini,DC,78
Atalanta,Lazar Samardžić,CC,76
Atalanta,Rui Patrício,POR,75
Atalanta,Matteo Ruggeri,TS,75
Atalanta,Daniel Maldini,COC,74
Atalanta,Marco Brescianini,CC,71
Atalanta,Francesco Rossi,POR,61
Atalanta,Gianluca Scamacca,ATT,79
Atalanta,Ibrahim Sulemana,CDC,71
Atalanta,Vanja Vlahović,ATT,60
Atalanta,Alberto Manzoni,CC,56
Atalanta,Marco Palestra,ED,54
Atalanta,Federico Cassa,CC,51
Bologna,Remo Freuler,CDC,81
Bologna,Riccardo Orsolini,ED,81
Bologna,Łukasz Skorupski,POR,79
Bologna,Sam Beukema,DC,78
Bologna,Dan Ndoye,ES,77
Bologna,Jhon Lucumí,DC,76
Bologna,Miranda,TS,75
Bologna,Nikola Moro,CDC,75
Bologna,Emil Holm,TD,75
Bologna,Santiago Castro,ATT,75
Bologna,Jens Odgaard,COC,74
Bologna,Davide Calabria,TD,79
Bologna,Lewis Ferguson,CC,79
Bologna,Nicolò Casale,DC,76
Bologna,Thijs Dallinga,ATT,76
Bologna,Tommaso Pobega,CC,74
Bologna,Giovanni Fabbian,CC,74
Bologna,Charalampos Lykogiannis,TS,73
Bologna,Martin Erlić,DC,73
Bologna,Benjamín Domínguez,ES,73
Bologna,Lorenzo De Silvestri,TD,71
Bologna,Federico Ravaglia,POR,70
Bologna,Nicola Bagnolini,POR,60
Bologna,Michel Aebischer,CC,75
Bologna,Nicolò Cambiaghi,AS,73
Bologna,Estanis,AS,69
Bologna,Oussama El Azzouzi,CDC,69
Bologna,Andri Fannar Baldursson,CDC,63
Cagliari,Yerry Mina,DC,76
Cagliari,Sebastiano Luperto,DC,76
Cagliari,Roberto Piccoli,ATT,75
Cagliari,Elia Caprile,POR,75
Cagliari,Nicolas Viola,ATT,73
Cagliari,Nadir Zortea,TD,73
Cagliari,Gabriele Zappa,DC,73
Cagliari,Antoine Makoumbou,CDC,73
Cagliari,Tommaso Augello,TS,72
Cagliari,Michel Ndary Adopo,CC,71
Cagliari,Alessandro Deiola,CC,69
Cagliari,Florinel Coman,ES,75
Cagliari,Răzvan Marin,CC,74
Cagliari,José Luis Palomino,DC,73
Cagliari,Gianluca Gaetano,COC,73
Cagliari,Zito Luvumbo,ES,72
Cagliari,Matteo Prati,CDC,72
Cagliari,Mattia Felici,ES,71
Cagliari,Adam Obert,TS,70
Cagliari,Alen Sherri,POR,67
Cagliari,Giuseppe Ciocci,POR,59
Cagliari,Velizar-Iliya Iliev,POR,57
Cagliari,Nicola Pintus,DC,56
Cagliari,Jakub Jankto,ES,70
Cagliari,Leonardo Pavoletti,ATT,69
Cagliari,Kingstone Mutandwa,ATT,63
Como,Gabriel Strefezza,ES,77
