Squadra,Giocatore,Ruolo,Valutazione
Bari,Paulo Vitor Barreto de Souza,ATT,80
Bari,Sergio Bernardo Almirón,CC,76
Bari,Jean Francois Gillet,POR,76
Bari,Edgar Álvarez,ED,76
Bari,Massimo Donati,CC,74
Bari,Andrea Masiello,DC,74
Bari,Emanuel Rivas,ES,73
Bari,Abdel Kader Ghezzal,ATT,73
Bari,Salvatore Masiello,TS,72
Bari,Antonio Langella,AS,71
Bari,Nico Pulzetti,CC,71
Bari,Marco Rossi,DC,71
Bari,José Ignacio Castillo,ATT,71
Bari,Vitaliy Kutuzov,ATT,70
Bari,Alessandro Gazzi,CDC,70
Bari,Andrea Raggi,TD,70
Bari,Alessandro Parisi,ASA,68
Bari,Nicola Belmonte,TD,68
Bari,Michele Rinaldi,DC,68
Bari,Jaime Romero Gómez,AS,68
Bari,Marco D'Alessandro,AD,68
Bari,Daniele Padelli,POR,65
Bari,Francesco Caputo,ATT,65
Bari,Gianluca Galasso,TD,63
Bari,Luigi Rana,AT,61
Bari,Nicola Strambelli,CC,57
Bari,Mauro Boerchio,POR,57
Bari,Marco Crimi,CC,56
Bologna,Marco Di Vaio,ATT,78
Bologna,Diego Pérez,COC,76
Bologna,Emiliano Viviano,POR,76
Bologna,Daniele Portanova,DC,74
Bologna,Riccardo Meggiorini,ATT,73
Bologna,Gaby Mudingayi,CC,71
Bologna,György Garics,ED,70
Bologna,Albin Ekdal,COC,70
Bologna,Vangelis Moras,DC,69
Bologna,Andrea Esposito,TD,69
Bologna,Miguel Angel Britos,DC,69
Bologna,Cristiano Lupatelli,POR,68
Bologna,Antonio Buscè,ED,68
Bologna,Nicolò Cherubin,DC,68
Bologna,Rene Krhin,CC,68
Bologna,Henry Damián Gimenez,ES,68
Bologna,Massimo Mutarelli,CC,67
Bologna,Andrea Pisanu,AS,67
Bologna,Matteo Rubin,TS,67
Bologna,Luca Siligardi,AD,67
Bologna,Federico Casarini,ED,67
Bologna,Filippo Spitoni,POR,67
Bologna,Ivan Radovanovic,CDC,66
Bologna,Francesco Della Rocca,COC,62
Bologna,Archimede Morleo,ASA,62
Bologna,Manuel Gavilán Morales,ATT,62
Bologna,Gianmarco Campironi,POR,60
Bologna,Daniele Paponi,AT,57
Bologna,Alessandro Bassoli,DC,55
Bologna,Giacomo Tattini,CC,55
Bologna,Filippo Lombardi,POR,54
Brescia,Matteo Sereni,POR,74
Brescia,Alessandro Diamanti,AT,74
Brescia,Andrea Caracciolo,ATT,73
Brescia,Eder Citadin Martins,AT,73
Brescia,Jonathan Zebina,DC,71
Brescia,Davide Possanzini,ATT,71
Brescia,Alessandro Budel,CC,69
Brescia,Nicolás Córdova,CC,69
Brescia,Simone Dallamano,TS,69
Brescia,Davide Baiocco,CC,68
Brescia,Gilberto Martínez,DC,68
Brescia,Riccardo Taddei,AS,68
Brescia,Marco Zambelli,TD,68
Brescia,Ádám Vass,CC,68
Brescia,Perparim Hetemaj,CC,68
Brescia,Panagiotis Kone,CC,68
Brescia,Michele Arcari,POR,68
Brescia,Francesco Bega,DC,67
Brescia,Víctor Hugo Mareco,DC,67
Brescia,Davide Zoboli,DC,67
Brescia,Sebastian De maio,DC,66
Brescia,Gaetano Berardi,DC,65
Brescia,Fabio Daprelà,TS,65
Brescia,Róbert Feczesin,AT,64
Brescia,Frank Kamalu,TD,62
Brescia,Nicola Leali,POR,55
Cagliari,Federico Marchetti,POR,80
Cagliari,Andrea Cossu,COC,78
Cagliari,Daniele Conti,CDC,76
Cagliari,Alessandro Matri,ATT,76
Cagliari,Andrea Lazzari,ES,75
Cagliari,Davide Astori,DC,75
Cagliari,Robert Acquafresca,ATT,75
Cagliari,Davide Biondini,ED,74
Cagliari,Anderson Miguel Da Silva,ATT,74
Cagliari,Michele Canini,DC,73
Cagliari,Alex Pinardi,COC,71
Cagliari,Alessandro Agostini,TS,71
Cagliari,Francesco Pisano,TD,71
Cagliari,Ivan Pelizzoli,POR,70
Cagliari,Michael Agazzi,POR,70
Cagliari,Daniele Ragatzu,ATT,70
Cagliari,Lorenzo Ariaudo,TS,70
Cagliari,Dario Biasi,DC,68
Cagliari,Mikhail Sivakov,CC,67
Cagliari,Gabriele Perico,TD,66
Cagliari,Daniele Magliocchetti,TD,66
Cagliari,Simon Laner,CC,65
Cagliari,Marco Ruzittu,POR,65
Cagliari,Luca Di Laura,TD,64
Cagliari,Radja Nainggolan,COC,63
Cagliari,Mattia Gallon,ATT,62
Cagliari,Paolo Dametto,DC,59
Cagliari,Daniele Giorico,CC,58
Catania,Maxi López,ATT,78
Catania,Giuseppe Mascara,ATT,76
Catania,Mariano Andújar,POR,76
Catania,Cristian Llama,ES,75
Catania,Pablo Barrientos,COC,74
Catania,Adrian Ricchiuti,COC,73
