Squadra,Giocatore,Ruolo,Valutazione
AC Milan,Sebastiano Rossi,POR,80
AC Milan,Winston Bogarde,DC,75
AC Milan,Paolo Maldini,DC,75
AC Milan,Paolo Maldini,TS,75
AC Milan,Demetrio Albertini,CC,75
AC Milan,Alessandro Costacurta,DC,76
AC Milan,Edgar Davids,CC,76
AC Milan,Marcel Desailly,DC,76
AC Milan,Patrick Kluivert,ATT,75
AC Milan,Dejan Savićević,CC,74
AC Milan,Andreas Andersson,ATT,76
AC Milan,Simone Braglia,POR,71
AC Milan,Ibrahim Ba,CC,74
AC Milan,George Weah,ATT,76
AC Milan,André Cruz,DC,74
AC Milan,Jesper Blomqvist,CC,75
AC Milan,Christian Ziege,DC,76
AC Milan,Matteo Pelatti,ATT,75
AC Milan,Giampiero Maini,CC,76
AC Milan,Zvonimir Boban,CC,76
AC Milan,Giuseppe Cardone,DC,74
AC Milan,Daniele Daino,DC,75
AC Milan,Massimo Taibi,POR,70
AC Milan,Dario Smoje,DC,76
AC Milan,Alberto Comazzi,DC,76
AC Milan,Leonardo,CC,76
AC Milan,Roberto Donadoni,CC,74
AC Milan,Steinar Nilsen,DC,74
AC Milan,Maurizio Ganz,ATT,75
AC Milan,Samir Beloufa,DC,75
AC Milan,Filippo Maniero,ATT,76
AS Roma,Michael Konsel,POR,83
AS Roma,Cafu,TD,77
AS Roma,Cafu,ED,77
AS Roma,Filippo Dal Moro,DC,77
AS Roma,Luigi Di Biagio,CC,79
AS Roma,Vincent Candela,ASA,79
AS Roma,Vincent Candela,ES,79
AS Roma,Aldair,DC,77
AS Roma,Paulo Sérgio,ATT,77
AS Roma,Cristiano Scapolo,CC,79
AS Roma,Abel Balbo,ATT,79
AS Roma,Francesco Totti,ATT,77
AS Roma,Francesco Totti,COC,77
AS Roma,Eusebio Di Francesco,CC,79
AS Roma,Antonio Chimenti,POR,75
AS Roma,Vágner,CC,79
AS Roma,Lampros Choutos,ATT,78
AS Roma,Cristian Servidei,DC,78
AS Roma,Matteo Pivotto,DC,79
AS Roma,Damiano Tommasi,CC,77
AS Roma,Iván Helguera,CC,77
AS Roma,Carmine Gautieri,CC,79
AS Roma,Omari Tetradze,DC,79
AS Roma,César Gómez,DC,77
AS Roma,Marco Delvecchio,ATT,78
AS Roma,Marco Delvecchio,AS,78
AS Roma,Fabio Petruzzi,DC,78
AS Roma,Antônio Carlos Zago,DC,78
Atalanta,Alberto Fontana,POR,77
Atalanta,Valter Bonacina,CC,73
Atalanta,Andrea Sottil,DC,72
Atalanta,Massimo Carrera,DC,73
Atalanta,Zoran Mirković,DC,73
Atalanta,Ljubiša Dunđerski,CC,71
Atalanta,Paolo Foglio,DC,73
Atalanta,Fabio Gallo,CC,72
Atalanta,Cristiano Lucarelli,ATT,72
Atalanta,Marco Sgrò,CC,72
Atalanta,Nicola Caccia,ATT,71
Atalanta,Davide Pinato,POR,67
Atalanta,Nicola Boselli,DC,73
Atalanta,Angelo Carbone,CC,73
Atalanta,Robert Englaro,DC,71
Atalanta,Liam Ardigò,POR,69
Atalanta,Federico Magallanes,ATT,71
Atalanta,Massimo Orlando,CC,73
Atalanta,Joakim Persson,CC,73
Atalanta,Stefano Rossini,CC,72
Atalanta,Fabio Rustico,DC,72
Atalanta,Vincenzo Chianese,ATT,71
Atalanta,Gianluca Gibellini,DC,71
Atalanta,Massimo Mutarelli,CC,71
Atalanta,Fausto Rossini,ATT,71
Atalanta,Cristian Zenoni,CC,72
Atalanta,Corrado Colombo,ATT,73
Atalanta,Filippo Carobbio,CC,71
Atalanta,Nicola Zanini,ATT,71
Atalanta,Giovanni Piacentini,CC,71
Atalanta,Massimiliano Cappioli,CC,73
Atalanta,Cesare Natali,DC,71
Bari,Francesco Mancini,POR,80
Bari,Luigi Garzya,DC,75
Bari,Gianluca Sordo,CC,73
Bari,Gaetano De Rosa,DC,73
Bari,Gian Paolo Manighetti,CC,73
Bari,Roberto Ripa,DC,75
Bari,Mauro Bressan,CC,75
Bari,Klas Ingesson,CC,75
Bari,Nicola Ventola,ATT,73
Bari,Thomas Doll,CC,73
Bari,Phil Masinga,ATT,73
Bari,Luca Gentili,POR,71
Bari,Michele Marcolini,CC,75
Bari,Sergio Volpi,CC,75
Bari,Diego De Ascentis,CC,75
Bari,Roberto Cau,CC,75
Bari,Miguel Ángel Guerrero,ATT,74
Bari,Davide Olivares,CC,74
Bari,Gianluca Zambrotta,CC,74
Bari,Lorenzo Sibilano,DC,75
Bari,Rodolfo Giorgetti,CC,74
Bari,Luigi Sala,DC,73
Bari,Carlo Sassarini,DC,73
Bari,Nicola Legrottaglie,DC,74
Bari,Carlo Cardascio,CC,75
Bari,Paolo Giometti,ATT,75
Bari,Giovanni Indiveri,POR,69
Bari,Rachid Neqrouz,DC,73
Bari,Marcus Allbäck,CC,75
Bari,Grégory Campi,CC,73
Bari,Rocco Roberto Paris,DC,75
Bologna,Francesco Antonioli,POR,81
Bologna,Daniele Carnasciali,DC,75
Bologna,Michele Paramatti,DC,76
Bologna,Giancarlo Marocchi,CC,75
Bologna,Paolo Cristallini,CC,77
Bologna,Igor' Kolyvanov,ATT,75
Bologna,Roberto Baggio,CC,76
Bologna,Oscar Magoni,CC,77
Bologna,Andrea Ferrari,POR,72
Bologna,Antonio Maschio,CC,76
Bologna,Igor' Šalimov,CC,76
Bologna,Carlo Nervo,CC,77
Bologna,Antonio Foschini,CC,76
Bologna,Davide Fontolan,CC,75
Bologna,Kennet Andersson,ATT,75
Bologna,Mauro Bonomi,DC,76
Bologna,Giovanni Dall'Igna,DC,77
Bologna,Alex Brunner,POR,71
Bologna,Cristiano Pavone,DC,75
Bologna,Amedeo Mangone,DC,77
Bologna,Mohamed Kallon,ATT,76
Bologna,Stefano Torrisi,DC,77
Bologna,Giuliano Gentilini,DC,77
Bologna,Massimo Paganin,DC,75
Bologna,Giorgio Sterchele,POR,72
Bologna,William Guarnieri,ATT,75
Bologna,Massimo Tarantino,DC,76
Bologna,Matteo Melara,DC,77
Bologna,Andrés Martínez,CC,75
Brescia,Giacomo Zunico,POR,78
Brescia,Alberto Savino,DC,72
Brescia,Marek Koźmiński,DC,71
Brescia,Luciano De Paola,CC,71
Brescia,Daniele Adani,DC,73
Brescia,Manfred Binz,DC,72
Brescia,Maurizio Neri,ATT,73
Brescia,Alessandro Romano,CC,71
Brescia,Emiliano Bonazzoli,ATT,72
Brescia,Cristiano Doni,CC,73
Brescia,Dario Hübner,ATT,73
Brescia,Nicola Pavarini,POR,67
Brescia,Ioan Sabău,CC,73
Brescia,Girolamo Bizzarri,ATT,72
Brescia,Salvadore Bacci,CC,73
Brescia,Aimo Diana,ED,72
Brescia,Aimo Diana,COC,72
Brescia,Emanuele Filippini,CC,72
Brescia,Antonio Filippini,CC,73
Brescia,Stefano Tagliani,CC,73
Brescia,Marco Barollo,CC,73
Brescia,Andrea Pirlo,CC,71
Brescia,Giovanni Cervone,POR,68
Brescia,Ivan Javorčić,CC,71
Brescia,Miljenko Kovačić,ATT,71
Brescia,Tal Banin,CC,73
Brescia,Luca Luzardi,DC,72
Brescia,Stefano Bono,CC,73
Brescia,Antonio Criniti,ATT,72
Brescia,Angelo Danotti,DC,71
Brescia,Massimiliano Corrado,DC,71
Brescia,Giovanni Bia,DC,73
Brescia,Massimiliano Caputo,ATT,73
Brescia,Davide Ratti,ATT,73
Empoli,Angelo Pagotto,POR,79
Empoli,Pietro Fusco,DC,74
Empoli,Miodrag Vukotić,DC,73
Empoli,Alessandro Pane,CC,73
Empoli,Daniele Baldini,DC,72
Empoli,Stefano Bianconi,DC,73
Empoli,Stefano Bettella,DC,74
Empoli,Fabio Artico,ATT,72
Empoli,Giovanni Martusciello,CC,74
Empoli,Carmine Esposito,ATT,72
Empoli,Marco Roccati,POR,70
Empoli,Fábio Eduardo Cribari,DC,72
Empoli,Emanuele Masini,DC,72
Empoli,Marco Pecorari,DC,72
Empoli,Max Tonetto,DC,72
Empoli,Max Tonetto,TS,72
Empoli,Vittorio Pusceddu,DC,74
Empoli,Massimiliano Cappellini,ATT,74
Empoli,Luca Bonfanti,CC,73
Empoli,Antonio Arcadio,ATT,72
Empoli,Tonino Martino,DC,73
