Squadra,Giocatore,Ruolo,Valutazione
AC Monza,Michele Di Gregorio,POR,79
AC Monza,Matteo Pessina,COC,78
AC Monza,Andrea Colpani,ED,78
AC Monza,Pablo Marí,DC,75
AC Monza,Roberto Gagliardini,CDC,75
AC Monza,Armando Izzo,DC,74
AC Monza,Dany Mota,ES,74
AC Monza,Samuele Birindelli,TD,74
AC Monza,Jean-Daniel Akpa Akpro,CDC,73
AC Monza,Milan Đurić,ATT,71
AC Monza,Andrea Carboni,TS,70
AC Monza,Danilo D'Ambrosio,DC,76
AC Monza,Gianluca Caprari,COC,76
AC Monza,Gianluca Caprari,ATT,76
AC Monza,Luca Caldirola,DC,74
AC Monza,Giorgos Kyriakopoulos,ASA,73
AC Monza,Lorenzo Colombo,ATT,73
AC Monza,José Machín,CC,72
AC Monza,Alessio Zerbin,AS,71
AC Monza,Daniel Maldini,COC,70
AC Monza,Samuele Vignato,COC,65
AC Monza,Samuele Vignato,ATT,65
AC Monza,Valentín Carboni,COC,64
AC Monza,Warren Bondo,CC,63
AC Monza,Alessandro Sorrentino,POR,63
AC Monza,Patrick Ciurria,ED,78
AC Monza,Pedro Pereira,ADA,73
AC Monza,Giulio Donati,DC,71
AC Monza,Stefano Gori,POR,67
AC Monza,Davide Bettella,DC,65
AC Monza,Matija Popovic,COC,58
Atalanta,Teun Koopmeiners,COC,82
Atalanta,Marco Carnesecchi,POR,81
Atalanta,Marten de Roon,CC,80
Atalanta,Sead Kolašinac,DC,79
Atalanta,Davide Zappacosta,ED,79
Atalanta,Gianluca Scamacca,ATT,79
Atalanta,Éderson,CC,79
Atalanta,Berat Djimsiti,DC,78
Atalanta,Charles De Ketelaere,ATT,78
Atalanta,Giorgio Scalvini,DC,77
Atalanta,Matteo Ruggeri,ES,74
Atalanta,Ademola Lookman,ATT,81
Atalanta,Mario Pašalić,COC,80
Atalanta,Rafael Tolói,DC,79
Atalanta,Juan Musso,POR,79
Atalanta,Alexey Miranchuk,COC,78
Atalanta,Alexey Miranchuk,ATT,78
Atalanta,Hans Hateboer,ADA,77
Atalanta,Isak Hien,DC,77
Atalanta,José Luis Palomino,DC,74
Atalanta,Mitchel Bakker,ASA,73
Atalanta,Emil Holm,ADA,73
Atalanta,El Bilal Touré,ATT,71
Atalanta,Michel Ndary Adopo,CC,61
Atalanta,Francesco Rossi,POR,61
Atalanta,Giovanni Bonfanti,DC,60
Bologna,Remo Freuler,CDC,79
Bologna,Riccardo Orsolini,ED,79
Bologna,Joshua Zirkzee,ATT,79
Bologna,Stefan Posch,TD,78
Bologna,Alexis Saelemaekers,ES,78
Bologna,Łukasz Skorupski,POR,77
Bologna,Riccardo Calafiori,DC,76
Bologna,Sam Beukema,DC,76
Bologna,Michel Aebischer,CC,75
Bologna,Victor Kristiansen,TS,74
Bologna,Giovanni Fabbian,CC,72
Bologna,Jesper Karlsson,ES,76
Bologna,Jhon Lucumí,DC,75
Bologna,Charalampos Lykogiannis,TS,74
Bologna,Nikola Moro,CDC,74
Bologna,Lorenzo De Silvestri,TD,73
Bologna,Jens Odgaard,ATT,73
Bologna,Dan Ndoye,ED,73
Bologna,Adama Soumaoro,DC,72
Bologna,Federico Ravaglia,POR,67
Bologna,Oussama El Azzouzi,CDC,65
Bologna,Tommaso Corazza,TS,65
Bologna,Mihajlo Ilić,DC,62
Bologna,Lewis Ferguson,COC,78
Bologna,Santiago Castro,ATT,71
Bologna,Kacper Urbański,COC,62
Bologna,Nicola Bagnolini,POR,55
Cagliari,Yerry Mina,DC,76
Cagliari,Nahitan Nández,ED,75
Cagliari,Gianluca Lapadula,ATT,73
Cagliari,Simone Scuffet,POR,73
Cagliari,Alberto Dossena,DC,73
Cagliari,Antoine Makoumbou,CDC,73
Cagliari,Jakub Jankto,ES,72
Cagliari,Tommaso Augello,TS,72
Cagliari,Gianluca Gaetano,COC,72
Cagliari,Gabriele Zappa,TD,70
Cagliari,Alessandro Deiola,CDC,69
Cagliari,Andrea Petagna,ATT,74
Cagliari,Nicolas Viola,COC,73
Cagliari,Zito Luvumbo,COC,73
Cagliari,Zito Luvumbo,ATT,73
Cagliari,Matteo Prati,CDC,73
Cagliari,Marco Mancosu,COC,72
Cagliari,Eldor Shomurodov,COC,72
Cagliari,Eldor Shomurodov,ATT,72
Cagliari,Mateusz Wieteska,DC,71
Cagliari,Gaetano Oristanio,COC,71
Cagliari,Gaetano Oristanio,ATT,71
Cagliari,Leonardo Pavoletti,ATT,70
Cagliari,Paulo Azzi,TS,70
Cagliari,Boris Radunović,POR,70
Cagliari,Simone Aresti,POR,65
Cagliari,Pantelis Hatzidiakos,DC,72
Cagliari,Ibrahim Sulemana,CDC,70
Cagliari,Alessandro Di Pardo,TD,68
Cagliari,Adam Obert,DC,68
Cagliari,Kingstone Mutandwa,ATT,57
Empoli,Sebastiano Luperto,DC,77
Empoli,Elia Caprile,POR,74
Empoli,Francesco Caputo,ATT,73
Empoli,Nicolò Cambiaghi,AD,73
Empoli,Bartosz Bereszyński,ED,72
