Squadra,Giocatore,Ruolo,Valutazione
Atalanta,Cristiano Doni,COC,79
Atalanta,Cristiano Doni,ATT,79
Atalanta,Tiberio Guarente,CC,78
Atalanta,Robert Acquafresca,ATT,78
Atalanta,Edgar Osvaldo Barreto,CC,77
Atalanta,Simone Tiribocchi,ATT,76
Atalanta,György Garics,TD,76
Atalanta,Gianpaolo Bellini,TS,75
Atalanta,Jaime Andrés Zapata Valdés,COC,75
Atalanta,Adriano Pinto Ferreira,ED,75
Atalanta,Fabio Caserta,CC,75
Atalanta,Thomas Manfredini,DC,74
Atalanta,Simone Padoin,ES,74
Atalanta,Andrea Consigli,POR,74
Atalanta,Paolo Bianco,DC,73
Atalanta,Ferdinando Coppola,POR,71
Atalanta,Maximiliano Pellegrino,DC,71
Atalanta,Costinha,CC,70
Atalanta,José Leonardo Talamonti,DC,70
Atalanta,Fabio Ceravolo,COC,68
Atalanta,Fabio Ceravolo,ATT,68
Atalanta,Federico Peluso,DC,68
Atalanta,Ivan Radovanovic,CDC,64
Atalanta,Miguel Arturo Layún,ADA,60
Atalanta,Christian Tiboni,ATT,58
Atalanta,Francesco Rossi,POR,57
Atalanta,Nicola Madonna,CC,52
Bari,Antonio Langella,ES,75
Bari,Barreto,COC,75
Bari,Barreto,ATT,75
Bari,Sergio Almirón,CC,74
Bari,Matteo Paro,CC,73
Bari,Edgar Álvarez,ED,73
Bari,Souleymane Diamoutene,DC,72
Bari,Andrea Masiello,TD,71
Bari,Jean Francois Gillet,POR,70
Bari,Alessandro Gazzi,CC,70
Bari,Alessandro Parisi,TS,70
Bari,Andrea Ranocchia,DC,70
Bari,Vitaliy Kutuzov,ATT,69
Bari,Filippo Antonelli Agomeri,ED,69
Bari,Riccardo Meggiorini,COC,69
Bari,Riccardo Meggiorini,ATT,69
Bari,Giuseppe Greco,COC,68
Bari,Giuseppe Greco,ATT,68
Bari,Salvatore Masiello,ES,68
Bari,Emanuel Rivas,RWM,68
Bari,Daniele De Vezze,CC,68
Bari,Leonardo Bonucci,DC,68
Bari,Massimo Donati,CC,67
Bari,Pedro Kamata,ES,67
Bari,Riccardo Allegretti,COC,67
Bari,Ferdinando Sforzini,ATT,67
Bari,Rey Volpato,COC,66
Bari,Rey Volpato,ATT,66
Bari,Iago,COC,66
Bari,Cristian Stellini,DC,65
Bari,Vladimir Koman,COC,64
Bari,Nicola Belmonte,TD,62
Bari,Ivan Rajcic,CC,60
Bari,Mariano Martin Donda,CC,60
Bari,Daniele Padelli,POR,59
Bari,Vitangelo Spadavecchia,POR,57
Bari,Armando Visconti,ATT,54
Bari,Ilario Lamberti,POR,46
Bologna,Marco Di Vaio,ATT,79
Bologna,Marcelo Zalayeta,ATT,75
Bologna,Daniele Portanova,DC,75
Bologna,Pablo Daniel Osvaldo,ATT,75
Bologna,Gaby Mudingayi,CDC,73
Bologna,Roberto Guana,CC,73
Bologna,Massimo Mutarelli,CDC,73
Bologna,Giacomo Tedesco,CC,73
Bologna,Luca Vigiani,ED,72
Bologna,Andrea Raggi,TD,72
Bologna,Massimo Marazzina,ATT,71
Bologna,Adaílton,COC,71
Bologna,Adaílton,ATT,71
Bologna,Salvatore Lanna,TS,71
Bologna,Davide Bombardini,ES,71
Bologna,Emiliano Viviano,POR,71
Bologna,Rafael Santos,DC,70
Bologna,Francesco Valiani,ES,70
Bologna,Cristian Zenoni,ADA,69
Bologna,Luigi Lavecchia,ADA,68
Bologna,Vangelis Moras,DC,68
Bologna,Miguel Angel Britos,DC,64
Bologna,Nicola Mingazzini,CDC,63
Bologna,Henry Damián Gimenez,ATT,63
Bologna,Gianmarco Campironi,POR,59
Bologna,Massimo Coda,ATT,53
Bologna,Federico Casarini,CC,51
Bologna,Riccardo Pasi,CC,50
Bologna,Roberto Colombo,POR,43
Cagliari,Federico Marchetti,POR,82
Cagliari,Andrea Cossu,COC,78
Cagliari,Andrea Cossu,ATT,78
Cagliari,Daniele Conti,CC,78
Cagliari,Jeda,COC,78
Cagliari,Jeda,ATT,78
Cagliari,Davide Biondini,CC,77
Cagliari,Nenê,ATT,77
Cagliari,Alessandro Matri,ATT,76
Cagliari,Andrea Lazzari,CC,75
Cagliari,Andrea Parola,CDC,74
Cagliari,Francesco Pisano,TD,74
Cagliari,Alessandro Agostini,TS,72
Cagliari,Diego Luis López,DC,72
Cagliari,Daniele Dessena,CC,72
Cagliari,Simone Barone,CDC,71
Cagliari,Michele Canini,DC,71
Cagliari,Cristiano Lupatelli,POR,70
Cagliari,Lino Marzoratti,DC,70
Cagliari,Joaquin Larrivey,ATT,70
Cagliari,Davide Astori,DC,69
Cagliari,Mario Brkljaca,CDC,69
Cagliari,Rafael Eduardo Acosta,ED,68
Cagliari,Mikhail Sivakov,CC,68
Cagliari,Daniele Ragatzu,ATT,67
Cagliari,Luca Di Laura,TD,64
Cagliari,Marco Ruzittu,POR,64
Cagliari,Enrico Cotza,CDC,63
Cagliari,Ignazio Carta,CC,62
Cagliari,Mattia Gallon,ATT,62
Cagliari,Mauro Vigorito,POR,59
Cagliari,Daniele Caschili,ATT,59
Catania,Giuseppe Mascara,AD,80
Catania,Pablo Martin Ledesma,CC,77
Catania,Pablo Cesar Barrientos,COC,77
Catania,Mariano Gonzalo Andújar,POR,77
Catania,Matias Agustin Silvestre,DC,76
Catania,Takayuki Morimoto,ATT,76
Catania,Nicolas Federico Spolli,DC,75
Catania,Jorge Martinez,COC,74
Catania,Jorge Martinez,ATT,74
Catania,Gennaro Delvecchio,CC,74
Catania,Marco Biagianti,CC,74
Catania,Błażej Augustyn,DC,74
Catania,Andrea Campagnolo,POR,73
Catania,Ezequiel Alejo Carboni,CDC,73
Catania,Ciro Capuano,TS,73
Catania,Adrian Ricchiuti,COC,73
Catania,Christian Terlizzi,DC,72
Catania,Alessandro Potenza,TD,72
Catania,Mariano Julio Izco,CC,72
Catania,Gianvito Plasmati,ATT,72
Catania,Fabio Sciacca,CC,72
Catania,Pablo Sebastián Álvarez,TS,71
Catania,Cristian Ezequiel Llama,ES,71
Catania,Simone Pesce,ES,70
Catania,Giuseppe Bellusci,DC,70
Catania,Tomas Kosicky,POR,66
Catania,Giovanni Marchese,TS,64
Catania,Federico Moretti,CC,60
Chievo Verona,Sergio Pellissier,ATT,77
Chievo Verona,Mario Yepes,DC,76
Chievo Verona,Giampiero Pinzi,COC,75
Chievo Verona,Giampiero Pinzi,ATT,75
Chievo Verona,Stefano Sorrentino,POR,75
Chievo Verona,Michele Marcolini,CC,74
Chievo Verona,Andrea Mantovani,TS,74
Chievo Verona,Luciano,CC,73
Chievo Verona,Simone Bentivoglio,CC,73
Chievo Verona,Davide Mandelli,DC,72
Chievo Verona,Gennaro Sardo,TD,70
Chievo Verona,Pablo Mariano Granoche,ATT,70
Chievo Verona,Santiago Morero,DC,70
Chievo Verona,Fabio Moro,TD,69
Chievo Verona,Luca Ariatti,CC,69
Chievo Verona,Elvis Abbruscato,ATT,69
Chievo Verona,Marco Malagó,TD,68
Chievo Verona,Luca Rigoni,CDC,68
Chievo Verona,Nicholas Frey,TD,68
Chievo Verona,Francesco Scardina,DC,66
Chievo Verona,Lorenzo Squizzi,POR,66
Chievo Verona,Manuel Iori,COC,66
Chievo Verona,Mirco Gasparetto,ATT,64
Chievo Verona,Felice Piccolo,DC,64
Chievo Verona,Erjon Bogdani,ATT,64
Chievo Verona,Marcos Ariel De Paula,ATT,64
Chievo Verona,Diego Farias,ATT,60
Chievo Verona,Yonese Hanine,CC,50
Chievo Verona,Michal Adam Miskiewicz,POR,47
Fiorentina,Sebastien Frey,POR,86
Fiorentina,Alberto Gilardino,ATT,84
Fiorentina,Andrei Murgu,COC,84
Fiorentina,Andrei Murgu,ATT,84
Fiorentina,Alessandro Gamberini,DC,82
Fiorentina,Riccardo Montolivo,CDC,81
Fiorentina,Cristiano Zanetti,CDC,80
Fiorentina,Juan Manuel Vargas,COC,79
Fiorentina,Marco Marchionni,COC,78
Fiorentina,Mario Alberto Santana,RWM,78
Fiorentina,Stevan Jovetić,COC,77
Fiorentina,Stevan Jovetić,ATT,77
Fiorentina,Per Krøldrup,DC,76
Fiorentina,Marco Donadel,CDC,76
Fiorentina,Gianluca Comotto,TD,76
Fiorentina,Dario Dainelli,DC,75
Fiorentina,Martin Jørgensen,LWM,75
Fiorentina,Manuel Pasqual,TS,75
Fiorentina,Cesare Natali,DC,74
