Squadra,Giocatore,Ruolo,Valutazione
AC Milan,Sebastiano Rossi,POR,81
AC Milan,Thomas Helveg,DC,78
AC Milan,Paolo Maldini,DC,78
AC Milan,Paolo Maldini,TS,78
AC Milan,Demetrio Albertini,CC,78
AC Milan,Alessandro Costacurta,DC,78
AC Milan,Andrij Ševčenko,ATT,78
AC Milan,Gennaro Gattuso,CC,78
AC Milan,Gianni Comandini,ATT,77
AC Milan,Zvonimir Boban,CC,76
AC Milan,José Mari,ATT,76
AC Milan,Christian Abbiati,POR,74
AC Milan,Júlio César,DC,77
AC Milan,K'akhaber K'aladze,DC,76
AC Milan,Diego De Ascentis,CC,76
AC Milan,Fernando Redondo,CC,77
AC Milan,Dražen Brnčić,CC,77
AC Milan,Leonardo,CC,78
AC Milan,José Chamot,DC,78
AC Milan,Oliver Bierhoff,ATT,78
AC Milan,Federico Giunti,CC,76
AC Milan,Valerio Fiori,POR,72
AC Milan,Massimo Ambrosini,CC,77
AC Milan,Andrés Guglielminpietro,CC,77
AC Milan,Roque Júnior,DC,76
AC Milan,Luigi Sala,DC,77
AC Milan,Serginho,CC,78
AC Milan,Fabricio Coloccini,DC,78
AC Milan,Marco Donadel,CC,77
AC Milan,Dida,POR,74
AC Milan,Mohammed Aliyu Datti,ATT,76
AC Milan,Ibrahim Ba,CC,77
AC Milan,Luca Saudati,ATT,78
AC Milan,Pablo García,CC,78
AC Milan,Francesco Coco,DC,78
AC Milan,Daniele Daino,DC,76
AS Roma,Francesco Antonioli,POR,78
AS Roma,Ivan Pelizzoli,POR,66
AS Roma,Christian Panucci,TD,77
AS Roma,Aldair,TD,78
AS Roma,Walter Samuel,DC,83
AS Roma,Jonathan Zebina,DC,71
AS Roma,Jonathan Zebina,TD,71
AS Roma,Aldair,DC,78
AS Roma,Cafu,TS,87
AS Roma,Jonathan Zebina,ASA,70
AS Roma,Emerson,CDC,80
AS Roma,Damiano Tommasi,CDC,78
AS Roma,Marcos Assunção,CC,72
AS Roma,Hidetoshi Nakata,CC,80
AS Roma,Francesco Totti,COC,89
AS Roma,Hidetoshi Nakata,COC,80
AS Roma,Vincenzo Montella,AS,78
AS Roma,Marco Delvecchio,AD,72
AS Roma,Gabriel Batistuta,ATT,88
AS Roma,Vincenzo Montella,ATT,78
AS Roma,Marco Delvecchio,ATT,73
Atalanta,Alberto Fontana,POR,82
Atalanta,Fabio Rustico,DC,76
Atalanta,Domenico Morfeo,CC,76
Atalanta,Massimo Paganin,DC,77
Atalanta,Ljubisa Dundjerski,CC,75
Atalanta,Fabio Gallo,CC,77
Atalanta,Marco Nappi,ATT,76
Atalanta,Luciano Zauri,CC,77
Atalanta,Fausto Rossini,ATT,75
Atalanta,Nicola Ventola,ATT,76
Atalanta,Maurizio Ganz,ATT,76
